GAME;SCORE;CATEGORY;RELEASE DATE;SUMMARY;CONSOLE;NEW_USED;PRICE
New Super Mario Bros;9.3;Genero Accion;20/11/2009;En un momento en que los plataformas par ?;Wii;NUEVO;67
Pokemon Battle Revolution;5.8;Genero Rol;07/12/2007;Iba a ser revolucionario  pero al final  ?;Wii;NUEVO;63
Zelda: Skyward Sword;9.6;Genero Accion;18/11/2011;No se puede entender la existencia de Wi ?;Wii;NUEVO;71
Super Mario Galaxy 2;9.9;Genero Accion;11/06/2010;Nintendo expande la galaxia de Mario con ?;Wii;NUEVO;73
PokePark 2;9.4;Genero Aventura;23/03/2012;Secuela de PokePark: Pikachuïs Adventure ?;Wii;USADO;44
Monster Hunter 3;9.3;Genero Rol;23/04/2010;Monster Hunter 3 no es solamente el mejo ?;Wii;USADO;45
PokePark;9.4;Genero Aventura;09/07/2010;Juego de aventuras en el que encarnamos  ?;Wii;NUEVO;73
Dragon Ball: Revenge of Piccolo;7.6;Genero Accion;31/10/2009;Dragon Ball: Revenge of King Piccolo no  ?;Wii;USADO;36
The Last Story;8.6;Genero Rol;24/02/2012;Wii llega a su final con una de sus mas  ?;Wii;USADO;40
Xenoblade Chronicles;9;Genero Rol;19/08/2011;Aunque muchos lo dabamos por hecho (y ma ?;Wii;USADO;43
Donkey Kong Country Returns;9.2;Genero Accion;03/12/2010;El rey de la selva plataformera de los 1 ?;Wii;NUEVO;74
Mario Kart Wii;8.6;Genero Deportes;11/04/2008;Mario Kart es siempre sinonimo de divers ?;Wii;USADO;44
Resident Evil: DarkSide Chronicles;8.4;Genero Accion;27/11/2009;La serie Resident Evil sigue explorando  ?;Wii;NUEVO;67
Inazuma Eleven Strikers;7;Genero Rol;28/09/2012;Los japoneses de Level 5 llevan Inazuma  ?;Wii;USADO;41
DBZ Budokai Tenkaichi 3;8.7;Genero Accion;14/02/2008;Poniendo sobre la mesa una version muy p ?;Wii;NUEVO;71
Coraline;8.7;Genero Aventura;01/02/2009;Coraline es una subrealista aventura que ?;Wii;USADO;45
Just Dance 2016;9.4;Genero Aventura;22/10/2015;Just Dance 2016 es el videojuego del a¤o ?;Wii;USADO;45
Sonic y el Caballero Oscuro;6.9;Genero Accion;13/03/2009;Sonic visita el reino de Camelot espada  ?;Wii;USADO;40
Wii Party;8.8;Genero Aventura;08/10/2010;Con una presentacion grafica muy adecuad ?;Wii;USADO;45
Call of Duty: Black Ops;8.5;Genero Accion;26/11/2010;Wii puede  y Treyarch nos lo demuestra c ?;Wii;USADO;42
Super Smash Bros. Brawl;9.4;Genero Accion;27/06/2008;Super Smash Bros Brawl es la representac ?;Wii;NUEVO;69
Golden Eye 007;8.7;Genero Accion;05/11/2010;No es sencillo valorar un ?remake? de un ?;Wii;NUEVO;70
Resident Evil 4;9.2;Genero Accion;29/06/2007;Resident Evil 4 ya era una obra maestra  ?;Wii;NUEVO;69
Mario Party 9;8;Genero Aventura;02/03/2012;Nintendo ha puesto las cosas en su sitio ?;Wii;USADO;44
Kirby?s Adventure;8;Genero Accion;25/11/2011;Kirby regresa a su estilo plataformero m ?;Wii;USADO;44
FIFA 17;9;Genero Deportes;29/09/2016;Cuando algo funciona no lo toques. Has o ?;PS4;USADO;45
PES 2017;8.5;Genero Deportes;15/09/2016;Si el futbol va de sensaciones y estados ?;PS4;USADO;38
No Man's Sky;7.5;Genero Accion;10/08/2016;Los temas que trata No Man?s Sky ni son  ?;PS4;NUEVO;69
Bioshock: The Collection;8.5;Genero Accion;16/09/2016;Llama la atencion el mimo desaforado de  ?;PS4;NUEVO;70
Mafia III;8.7;Genero Accion;07/10/2016;Tercer episodio de la serie Mafia inspir ?;PS4;USADO;41
NBA 2K17;9;Genero Deportes;16/09/2016;Esta nueva entrega de NBA 2K no es la ma ?;PS4;NUEVO;70
Call of Duty: Infinite Warfare;8.7;Genero Accion;04/11/2016;Call of Duty: Infinite Warfare es el vid ?;PS4;NUEVO;73
F1 2016;8;Genero Deportes;19/08/2016;Codemasters vuelve a pista y recupera el ?;PS4;NUEVO;72
Rise of the Tomb Raider;8.7;Genero Accion;11/10/2016;La veterana Lara Croft protagoniza este  ?;PS4;USADO;38
Assetto Corsa;8;Genero Deportes;26/08/2016;Assetto Corsa se hace mas apetecible par ?;PS4;NUEVO;67
PS4 Pro;8.7;Genero Aventura;10/11/2016;PS4 Pro es una consola de Sony mas poten ?;PS4;USADO;43
Tekken 7;8.7;Genero Accion;10/11/2017;Septima entrega de la popular saga de lu ?;PS4;NUEVO;71
Jotun: Valhalla Edition;8;Genero Accion;09/09/2016;Solo por la incontestable belleza de su  ?;PS4;NUEVO;64
A.O.T. Wings of Freedom;7.5;Genero Accion;26/08/2016;El estudio de Tecmo Koei Omega Force dem ?;PS4;USADO;39
The King of Fighters XIV;8.5;Genero Accion;26/08/2016;Es una pena que KOF XIV no entre por los ?;PS4;USADO;38
Lords of the Fallen;7.5;Genero Rol;31/10/2014;En muchas ocasiones  Lords of the Fallen ?;PS4;NUEVO;69
The Tomorrow Children;5.5;Genero Accion;06/09/2017;Es complicado equilibrar toda una propue ?;PS4;USADO;37
Final Fantasy XV;8.7;Genero Rol;29/11/2016;Entrega de la famosa saga JRPG Final Fan ?;PS4;USADO;40
Deus Ex: Mankind Divided;8.5;Genero Accion;23/08/2016;Al igual que Human Revolution  Mankind D ?;PS4;NUEVO;73
Dragon Ball: Xenoverse 2;8.7;Genero Accion;28/10/2016;Dragon Ball: Xenoverse 2 es el nombre es ?;PS4;USADO;41
Resident Evil 7;8.7;Genero Accion;24/01/2017;Septima entrega numerica de la serie Res ?;PS4;NUEVO;64
Dark Souls III;9.5;Genero Rol;12/04/2016;Dark Souls III es el ultimo esfuerzo de  ?;PS4;NUEVO;74
Dragon Quest: Builders;8.7;Genero Aventura;14/10/2016;Square Enix traslada el universo Dragon  ?;PS4;USADO;45
Inside;9.5;Genero Accion;23/08/2016;El aspecto grafico  la direccion artisti ?;PS4;USADO;39
PES 2017;9.6;Genero Deportes;15/09/2016;Konami y la saga Pro Evolution Soccer bu ?;X360;NUEVO;71
FIFA 17;9.6;Genero Deportes;29/09/2016;FIFA 17 es la apuesta por la simulacion  ?;X360;NUEVO;72
Grand Theft Auto V;10;Genero Accion;17/09/2013;Rockstar ha sido uno de los grandes triu ?;X360;NUEVO;100
Minecraft;8;Genero Aventura;09/05/2012;Cada cierto tiempo aparecen titulos que  ?;X360;NUEVO;64
The Elder Scrolls V: Skyrim;9.6;Genero Rol;11/11/2011;La quinta entrega de The Elder Scrolls r ?;X360;USADO;44
Call of Duty: Black Ops 2;8.8;Genero Accion;13/11/2012;Black Ops II trae de vuelta el estilo de ?;X360;NUEVO;64
Assassin's Creed 4;9.5;Genero Accion;29/10/2013;Black Flag es una inmejorable aventura d ?;X360;NUEVO;71
Destiny;8;Genero Accion;09/09/2014;Destiny  con sus fortalezas y sus debili ?;X360;USADO;37
Metal Gear Solid V: The Phantom Pain;10;Genero Accion;01/09/2015;Metal Gear Solid levanto los cimientos s ?;X360;USADO;45
Dragon Ball: Xenoverse;7.5;Genero Accion;27/02/2015;Esta vez el Dragon Shenron se ha portado ?;X360;USADO;40
Call of Duty: Black Ops 3;8.1;Genero Accion;06/11/2015;Entrega del a¤o 2015 de la saga belica C ?;X360;NUEVO;69
Dark Souls II;9.5;Genero Rol;14/03/2014;Dark Souls II imprime su propio sello si ?;X360;USADO;42
Left 4 Dead 2;8.1;Genero Accion;19/11/2009;Left 4 Dead 2 dividira a los usuarios qu ?;X360;NUEVO;69
Forza Horizon;8.9;Genero Deportes;26/10/2012;Los britanicos de Playground Games recog ?;X360;NUEVO;64
Battlefield 4;8.5;Genero Accion;31/10/2013;Battlefield 4 es una de las mejores expe ?;X360;NUEVO;64
Gears of War 3;9.5;Genero Accion;20/09/2011;Con la accion por bandera y con la calid ?;X360;USADO;39
Watch Dogs;8.5;Genero Accion;27/05/2014;Watch Dogs ?;X360;NUEVO;72
Halo 4;9;Genero Accion;06/11/2012;Halo 4 es accion de la vieja escuela. Co ?;X360;USADO;45
Rise of the Tomb Raider;8.5;Genero Accion;10/11/2015;La veterana Lara Croft protagoniza este  ?;X360;USADO;44
Red Dead Redemption;9.9;Genero Accion;21/05/2010;Red Dead Redemption es el mejor videojue ?;X360;NUEVO;71
GTA Online;8.5;Genero Accion;01/10/2013;Rockstar aseguro que GTA Online era un p ?;X360;USADO;39
The Witcher 2;9.3;Genero Rol;17/04/2012;La traslacion a Xbox 360 de The Witcher  ?;X360;NUEVO;75
State of Decay;8;Genero Accion;05/06/2013;"El genero de los ""survival horror"" sigue ?";X360;USADO;42
Dark Souls;9.2;Genero Rol;07/10/2011;Dark Souls es diversion de la vieja escu ?;X360;USADO;41
